inicio,fim,alpha,beta,delta,theta,gamma
13875,14000,100.00000000000001,39.41299393063669,0.0,38.59833252130383,0.2892516742981739
14000,14125,100.0,31.94773921531945,0.0,32.48553624851383,0.25619325192583037
14125,14250,100.0,28.16632374451812,0.0,23.81296948611344,0.1610696896212177
14250,14375,100.0,22.247657181993123,0.0,14.089669756967067,0.2624886816691859
14375,14500,100.00000000000001,21.285898449149283,0.0,11.433937002651984,0.45649919247520565
14500,14625,100.0,16.066691109570492,0.0,11.63257313868574,0.11641186774662005
14625,14750,100.0,16.353950757722778,0.0,14.867833130504138,0.7402902114022004
14750,14875,100.0,22.729635932179853,0.0,42.49467953041793,1.0530366307023848
14875,15000,100.0,34.62995055933656,0.0,79.57217982595523,2.0048702619349665
15000,15125,99.99999999999999,28.163529352260216,0.0,58.83235771941381,1.2967590469073875
15125,15250,100.0,25.745512154448438,0.0,42.10584626522426,1.0674907337948993
15250,15375,100.0,27.008151140467454,0.0,38.24815430847589,1.1763373188906345
15375,15500,100.0,33.51299476862395,0.0,58.524505608603455,2.1052534973576953
15500,15625,100.0,35.430786338246776,0.0,79.48190018656018,2.760454440981783
15625,15750,100.0,43.89736673160705,0.0,81.76575264996988,1.9924115080082703
15750,15875,100.0,53.944284562068255,0.0,67.63779560609403,2.409223547752385
15875,16000,99.99999999999999,67.73641891747783,0.0,58.32591999390817,1.4793355295344797
16000,16125,99.99999999999999,43.14265345968067,0.0,40.511939470404464,0.737015832101881
16125,16250,100.0,40.07566379901,0.5702106666599067,55.939236864490184,0.0
16250,16375,100.0,47.19977072416578,0.0,54.78100889265495,0.4896520783231406
16375,16500,100.0,55.967079913519484,0.0,68.93718060533338,1.5921437486731242
16500,16625,99.99999999999999,47.50504864440572,0.0,63.78508706924352,1.1948634389947226
16625,16750,100.0,35.332562130451116,0.0,79.11924538713733,0.8920758958538193
16750,16875,100.00000000000001,27.71120693010723,0.0,55.59726287328487,0.782495012936681
16875,17000,100.0,25.047739109616476,0.0,50.77549191548076,0.4650582324983048
17000,17125,100.0,21.513399818534346,0.0,42.42860131523672,1.1195458390806383
17125,17250,100.0,17.15215327598408,0.0,54.83764749308451,0.6678132905654838
17250,17375,100.0,19.018377617588033,0.0,52.86010931046705,0.7638083537634742
17375,17500,100.0,21.12255710030652,0.0,50.23238371109989,0.29382078279509993
17500,17625,100.0,39.57873591062671,0.0,32.40605920795158,0.17541690275826416
17625,17750,99.99999999999999,44.688882250152155,0.0,42.4653843865508,0.12639020392924905
17750,17875,100.0,49.793825953664935,0.0,51.42688949954969,0.9104904202038766
17875,18000,100.0,27.636557328561715,0.012875095792680424,50.8542817754128,0.0
18000,18125,100.0,19.71816008480012,0.0,91.9622846771998,0.5496816468191861
18125,18250,100.0,23.961228049567655,0.0,98.36950020050604,0.12051796323048514
18250,18375,85.19979976542913,29.425222381662746,0.0,100.0,0.5307741250103779
18375,18500,100.0,50.39833781083796,0.02686772719961783,75.87357858061196,0.0
18500,18625,100.0,47.84922470200025,0.29334520988563684,65.52323513789439,0.0
18625,18750,99.99999999999999,46.86530926468548,0.0,59.3853544304016,0.6593953881999964
18750,18875,100.0,37.03271812798052,0.0,30.739584394361415,0.36173721251859214
18875,19000,100.00000000000001,24.785725263170423,0.0,17.81511806571153,0.01653791007165828
19000,19125,99.99999999999999,15.630198288659173,0.0,13.300327000358688,0.45787395963809085
19125,19250,100.0,11.235659333172446,0.0,17.817572185549405,0.2964090521879388
19250,19375,100.0,17.118354280603455,0.0,33.065770396805576,0.06089605400474696
19375,19500,99.99999999999999,35.20872392230239,0.03844184031593212,51.12849429963356,0.0
19500,19625,100.00000000000001,40.06505502687746,0.08124138069581388,62.96378951617399,0.0
19625,19750,100.0,25.60821499850425,0.05585554745801158,52.38712335490646,0.0
19750,19875,100.0,18.530860501134566,0.0,67.5636998112382,0.48110041320364005
19875,20000,100.0,17.285729943499675,0.0,62.8784700987182,0.26691824567933287
20000,20125,100.0,20.631428126603346,0.0,59.12679210599237,0.17317795144850368
20125,20250,99.99999999999999,19.447120031199947,0.06754562783760576,49.93788341640995,0.0
20250,20375,100.0,31.552945100050284,0.0,37.62190968354048,0.22724726954256136
20375,20500,99.99999999999999,37.085411272253666,0.0,29.03882481862381,0.10652688112501818
20500,20625,100.0,28.892300893581574,0.0,13.723494113069924,0.12888062553133178
20625,20750,100.0,23.932988892297484,0.0,10.163415750560416,0.3184362639680066
20750,20875,99.99999999999999,17.907117915991993,0.0,10.145639764841338,0.2994592869935691
20875,21000,100.0,16.327308273731212,0.0,17.94163659444878,0.1825107773972694
21000,21125,100.0,16.089498273818005,0.0,16.848273834709566,0.2150441704557664
21125,21250,100.0,15.858272990274662,0.0,12.724560953378411,0.3830356522853088
21250,21375,100.0,14.356697117008425,0.0,6.9352298062499,0.14226811324839816
21375,21500,100.0,20.64008748127471,0.0,9.302191673238157,0.2964939411041563
21500,21625,100.00000000000001,21.391559509920903,0.0,11.08945076473374,0.10298675991003964
21625,21750,100.0,28.047978027027813,0.0,29.528127702354723,0.014726307759982737
21750,21875,100.0,13.495366442635687,0.0,27.426823509142995,0.1379850212967632
21875,22000,100.0,11.992760052258992,0.0,29.590167857176407,0.023956621438974812
22000,22125,99.99999999999999,8.137252250894775,0.0,23.733416529946158,0.011917087156889605
22125,22250,100.00000000000001,7.746395320929262,0.2459889138282586,21.345227452576697,0.0
22250,22375,100.00000000000001,9.447496709760344,0.1647422825969031,29.4953256851489,0.0
22375,22500,99.99999999999999,10.662691084915593,0.1512117397804295,28.938856247593595,0.0
22500,22625,100.0,16.160188839005087,0.0,42.16543896486412,0.129972878748558
22625,22750,100.0,29.009033435297194,0.0,42.15512453279248,0.03269658416315746
